name,company,year,Price,kms_driven,fuel_type
Ambassador CLASSIC 1500 DSL AC,Ambassador,2000,75000,90000,Diesel
Ambassador Classic 2000 DSZ AC PS,Ambassador,1994,99000,100000,Diesel
Ambassador Grand 1500 DSZ BSIII,Ambassador,2008,122000,60000,Diesel
Ambassador Grand 2000 DSZ PW CL,Ambassador,2008,200000,80000,Diesel
Audi A3 35 TDI Premium Plus,Audi,2017,2600000,70000,Diesel
Audi A3 35 TDI Premium Plus,Audi,2018,3000000,20000,Diesel
Audi A3 40 TFSI Premium,Audi,2017,1689999,8000,Petrol
Audi A4 1.8 TFSI,Audi,2010,730000,55000,Petrol
Audi A4 2.0 TDI,Audi,2014,1600000,44000,Diesel
Audi A4 2.0 TDI,Audi,2014,1500000,60000,Diesel
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,2013,1200000,110000,Diesel
Audi A4 35 TDI Premium Plus,Audi,2015,1750000,37000,Diesel
Audi A4 35 TDI Premium Plus,Audi,2018,2900000,15000,Diesel
Audi A4 35 TDI Premium Plus,Audi,2016,1898999,46000,Diesel
Audi A4 35 TDI Premium Plus,Audi,2016,2450000,30000,Diesel
Audi A6 2.0 TDI,Audi,2014,2200000,60000,Diesel
Audi A6 2.0 TDI  Design Edition,Audi,2013,1689999,50000,Diesel
Audi A6 2.0 TDI Premium Plus,Audi,2013,2000000,35000,Diesel
Audi A6 2.0 TDI Technology,Audi,2013,1750000,33900,Diesel
Audi A6 35 TFSI Matrix,Audi,2019,6223000,7800,Petrol
Audi A6 35 TFSI Matrix,Audi,2019,5923000,11500,Petrol
Audi A6 35 TFSI Matrix,Audi,2019,6523000,23600,Petrol
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2017,2825000,22000,Diesel
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2016,2375000,30000,Diesel
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2017,2825000,22000,Diesel
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2014,1200000,230000,Diesel
Audi Q3 35 TDI Quattro Premium Plus,Audi,2018,2800000,26000,Diesel
Audi Q3 35 TDI Quattro Technology,Audi,2018,2200000,25000,Diesel
Audi Q5 2.0 TDI,Audi,2011,1300000,120000,Diesel
Audi Q5 3.0 TDI Quattro,Audi,2014,1850000,76131,Diesel
Audi Q5 3.0 TDI Quattro,Audi,2014,1850000,76131,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
Audi Q5 45 TDI quattro Technology,Audi,2015,2700000,105000,Diesel
Audi Q7 3.0 TDI Quattro,Audi,2014,3000000,65000,Diesel
Audi Q7 3.0 TDI Quattro,Audi,2009,810000,98000,Diesel
Audi Q7 3.0 TDI Quattro,Audi,2010,1750000,110000,Diesel
Audi Q7 3.0 TDI Quattro,Audi,2009,1025000,120000,Diesel
Audi Q7 3.0 TDI Quattro Premium Plus,Audi,2012,1850000,70000,Diesel
Audi Q7 35 TDI Quattro Premium,Audi,2015,2650000,53000,Diesel
BMW 3 Series,BMW,2013,1005000,153870,Diesel
BMW 3 Series 320d,BMW,2017,3200000,13663,Diesel
BMW 3 Series 320d Corporate Edition,BMW,2012,900000,155000,Diesel
BMW 3 Series 320d GT Luxury Line,BMW,2017,2950000,39000,Diesel
BMW 3 Series 320d GT Luxury Line,BMW,2017,2950000,39000,Diesel
BMW 3 Series 320d Highline,BMW,2009,1100000,60000,Diesel
BMW 3 Series 320d Highline,BMW,2012,1100000,80000,Diesel
BMW 3 Series 320d Luxury Line,BMW,2016,2150000,30000,Diesel
BMW 3 Series 320d Luxury Line,BMW,2012,1300000,140000,Diesel
BMW 3 Series 320d Luxury Line,BMW,2012,1300000,140000,Diesel
BMW 3 Series 320d Luxury Line,BMW,2010,1100000,102000,Diesel
BMW 3 Series 320d Luxury Line,BMW,2016,2150000,30000,Diesel
BMW 3 Series 320d Luxury Line Plus,BMW,2017,2600000,44000,Diesel
BMW 3 Series 320d Luxury Line Plus,BMW,2017,2600000,44000,Diesel
BMW 3 Series 320d Luxury Plus,BMW,2013,1300000,140000,Diesel
BMW 3 Series 320d Luxury Plus,BMW,2013,1300000,140000,Diesel
BMW 3 Series 320d Prestige,BMW,2015,1650000,74000,Diesel
BMW 3 Series 320d Sedan,BMW,2007,480000,110000,Diesel
BMW 3 Series 320d Sedan,BMW,2011,1500000,84925,Diesel
BMW 3 Series GT Luxury Line,BMW,2016,2950000,60000,Diesel
BMW 5 Series 520d,BMW,2008,1100000,122000,Diesel
BMW 5 Series 520d Luxury Line,BMW,2016,2900000,12000,Diesel
BMW 5 Series 520d Luxury Line,BMW,2019,5200000,10000,Diesel
BMW 5 Series 520d Luxury Line,BMW,2016,3200000,40000,Diesel
BMW 5 Series 520d Luxury Line,BMW,2019,5200000,10000,Diesel
BMW 5 Series 520d Sedan,BMW,2008,890000,70000,Diesel
BMW 5 Series 520d Sport Line,BMW,2018,3790000,29500,Diesel
BMW 5 Series 520d Sport Line,BMW,2018,3900000,17100,Diesel
BMW 5 Series 520d Sport Line,BMW,2018,3790000,29500,Diesel
